CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-10-30 04:15:00,0.0,5603.0,2.0,9.0,1120256000.0,6183072000.0,33.0,58.0,45.2,38936419.99734333,38694142.20905901,60031.51367232635,59411.664754510486
2018-10-30 04:30:00,0.0,5642.0,1.0,9.0,1119984000.0,6183344000.0,34.0,57.0,45.1,36321814.249970675,36074640.014807165,46836.73616249544,46222.56798499091
2018-10-30 04:45:00,0.0,5656.0,1.0,9.0,1119988000.0,6183340000.0,33.0,57.0,44.9,39109789.90490561,38608897.779780455,50411.93608650256,49522.09421818831
2018-10-30 05:00:00,2.0,5661.0,2.0,9.0,1120008000.0,6183320000.0,33.0,57.0,45.0,43167716.82785593,42837010.77086795,55136.32363678249,54345.52457339376
2018-10-30 05:15:00,1.0,5674.0,1.0,9.0,1120024000.0,6183304000.0,33.0,56.0,44.6,46155876.24358853,45769171.919216566,58991.20358077544,58292.02193782741
2018-10-30 05:30:00,0.0,5680.0,0.0,9.0,1120028000.0,6183300000.0,34.0,57.0,45.1,52027078.16009262,51693285.7241099,65363.2353922234,64693.66781456434
2018-10-30 05:45:00,1.0,5684.0,2.0,9.0,1119980000.0,6183348000.0,33.0,58.0,44.8,54133956.49864929,53732965.94790615,68880.58609678732,68063.13727258389
2018-10-30 06:00:00,0.0,5709.0,4.0,9.0,1120052000.0,6183276000.0,33.0,57.0,44.5,61410135.88242017,60804947.56992922,75661.32411777355,74679.69056614058
2018-10-30 06:15:00,3.0,5754.0,1.0,9.0,1120024000.0,6183304000.0,33.0,57.0,44.9,70257837.64800544,69982168.26408383,85556.06363909363,84889.83716131352
2018-10-30 06:30:00,1.0,5790.0,0.0,9.0,1120032000.0,6183296000.0,33.0,57.0,44.6,70626534.346251,70239435.91196892,85959.59720664528,85138.95379733665
2018-10-30 06:45:00,1.0,5823.0,0.0,9.0,1120044000.0,6183284000.0,33.0,57.0,44.3,80594838.92934115,80429103.57023977,98274.47873229928,97565.70794008406
2018-10-30 07:00:00,0.0,5868.0,1.0,9.0,1120088000.0,6183240000.0,33.0,57.0,44.7,85312557.25531042,85026818.69660987,104907.68923730335,104113.50014318309
2018-10-30 07:15:00,0.0,5909.0,2.0,9.0,1120144000.0,6183184000.0,33.0,57.0,44.5,102678262.79185148,102099056.30604781,123598.11838921794,122565.61706891931
2018-10-30 07:30:00,1.0,5885.0,1.0,9.0,1120172000.0,6183156000.0,33.0,57.0,44.8,112081487.73107857,111533598.92913562,141004.03854834233,140121.44567561307
2018-10-30 07:45:00,1.0,5987.0,1.0,9.0,1120176000.0,6183152000.0,34.0,57.0,45.0,124450975.8509392,123829630.25720187,151188.0886970298,150109.89947895918
2018-10-30 09:00:00,1.0,6515.0,2.0,12.0,1120356000.0,6182972000.0,35.0,59.0,46.4,154027186.46248552,153277340.60421312,181801.27352613883,179833.66795709985
2018-10-30 09:15:00,5.0,6675.0,2.0,12.0,1120288000.0,6183040000.0,35.0,59.0,46.8,169294769.5399704,168495417.22789592,199534.02500796373,197471.65571455614
2018-10-30 09:30:00,0.0,6811.0,0.0,13.0,1126472000.0,6176856000.0,35.0,60.0,47.4,187757090.133344,187055587.18011582,221793.79542634805,219745.22321621884
2018-10-30 09:45:00,2.0,6905.0,0.0,12.0,1128348000.0,6174980000.0,36.0,60.0,46.9,192114719.49171892,191230961.60398957,238441.1171511142,236290.7066714236
2018-10-30 10:00:00,2.0,6976.0,3.0,15.0,1121020000.0,6182308000.0,34.0,58.0,45.4,217739735.04540667,216615283.46339646,267289.98492169066,264815.0371811076
2018-10-30 10:15:00,1.0,6480.0,2.0,13.0,1120980000.0,6182348000.0,33.0,56.0,44.3,221776280.81384516,220593029.47772714,272457.82719886716,270072.3990217962
2018-10-30 10:30:00,0.0,6565.0,4.0,12.0,1120992000.0,6182336000.0,32.0,55.0,43.7,213533460.42830497,212423859.45039302,261911.19176287757,259553.38699889733
2018-10-30 10:45:00,3.0,6569.0,3.0,10.0,1127332000.0,6175996000.0,32.0,55.0,43.6,211654250.42799708,210438171.20435196,260501.16121607556,258085.5332559475
2018-10-30 11:00:00,1.0,6614.0,0.0,13.0,1137392000.0,6165872000.0,32.0,55.0,43.0,212722262.39597794,211918957.57120004,257459.50926149116,255288.65667431234
2018-10-30 11:15:00,0.0,7135.0,0.0,17.0,1127616000.0,6175648000.0,31.0,55.0,43.1,218165833.52900097,216252887.32632902,261668.25325155,258744.97540279067
2018-10-30 11:30:00,1.0,7302.0,0.0,11.0,1133464000.0,6169800000.0,31.0,54.0,42.8,232477263.93652895,231124430.73470202,281984.5875963825,279141.3238660389
2018-10-30 11:45:00,2.0,7330.0,2.0,12.0,1127792000.0,6175472000.0,31.0,54.0,42.7,226092241.22689402,224947014.33116496,277194.6498515393,274783.53028512595
2018-10-30 12:00:00,0.0,7382.0,0.0,12.0,1145128000.0,6158136000.0,31.0,54.0,42.9,237792120.63729128,236236995.01109993,284880.1814437464,282753.4662824442
2018-10-30 12:15:00,0.0,7410.0,2.0,10.0,1139376000.0,6163884000.0,31.0,55.0,42.8,237702766.0809027,235755361.96433955,288184.60978857346,285481.9725647746
2018-10-30 12:30:00,4.0,7384.0,0.0,12.0,1133572000.0,6169688000.0,31.0,55.0,42.5,244455027.72374046,243276697.97977877,293452.77945565927,291679.391389601
2018-10-30 12:45:00,0.0,7398.0,0.0,11.0,1133340000.0,6169920000.0,31.0,54.0,42.7,256766824.06839812,255660520.37897283,306625.94238175615,304591.5153516634
2018-10-30 13:00:00,0.0,7373.0,2.0,11.0,1133340000.0,6169920000.0,31.0,54.0,42.5,251325337.8972417,250320269.09436426,300603.4624792566,298793.623965252
2018-10-30 13:15:00,2.0,7393.0,2.0,11.0,1133356000.0,6169904000.0,31.0,54.0,42.5,250047985.68052673,249183667.26854724,297970.09485270863,296092.7324484158
2018-10-30 13:30:00,0.0,7370.0,1.0,12.0,1133012000.0,6170248000.0,31.0,54.0,42.6,261511112.34167954,260452924.24792758,309511.40560614393,307363.93785266014
2018-10-30 13:45:00,1.0,7380.0,1.0,12.0,1138772000.0,6164488000.0,31.0,54.0,42.3,309016025.414732,307847498.89678556,346526.6354692328,344367.15950393974
2018-10-30 14:00:00,2.0,7384.0,2.0,11.0,1142632000.0,6160628000.0,31.0,54.0,42.2,274080021.5412778,272726473.5955254,322652.74698777584,319975.6578411407
2018-10-30 14:15:00,2.0,7377.0,0.0,11.0,1132764000.0,6170492000.0,31.0,55.0,42.6,284882568.9554449,283883268.4041314,334276.35668203334,331620.4160968068
2018-10-30 14:30:00,2.0,7393.0,1.0,12.0,1132756000.0,6170500000.0,31.0,54.0,42.5,288770281.06168944,288211364.45638156,338290.84963522374,335999.4058737912
2018-10-30 14:45:00,3.0,7463.0,5.0,11.0,1132572000.0,6170684000.0,30.0,54.0,42.4,295415576.4143804,294567457.52319914,343658.8713570135,341208.31634865963
2018-10-30 15:00:00,3.0,7429.0,1.0,12.0,1130472000.0,6172784000.0,31.0,54.0,42.3,305235979.0120218,304007202.6638715,354445.3733770126,351541.87904460565
2018-10-30 15:15:00,2.0,7448.0,3.0,12.0,1120616000.0,6182640000.0,31.0,54.0,42.3,308492233.4900174,307213657.5760129,359469.8052674025,357039.56567224476
2018-10-30 15:30:00,2.0,7454.0,1.0,12.0,1120568000.0,6182684000.0,31.0,54.0,42.3,309366165.7721356,308142186.7201851,361056.83262809523,358689.91447148105
2018-10-30 15:45:00,4.0,7431.0,1.0,12.0,1120520000.0,6182732000.0,31.0,54.0,42.2,295567203.9459795,294551133.91623807,344657.15196147043,342163.3382481398
2018-10-30 16:00:00,0.0,7423.0,0.0,11.0,1120504000.0,6182748000.0,31.0,54.0,42.3,290764107.5776385,289578814.6341925,338864.9319456224,336243.9354961334
2018-10-30 16:15:00,5.0,7425.0,0.0,12.0,1120780000.0,6182472000.0,31.0,54.0,42.1,281543568.38186425,280333190.08447295,325766.62977559364,323586.56671629986
2018-10-30 16:30:00,1.0,7425.0,3.0,12.0,1120844000.0,6182408000.0,30.0,53.0,41.9,287528905.381418,286660591.6047678,334251.5060840861,332541.1617034199
2018-10-30 16:45:00,2.0,7430.0,0.0,12.0,1121544000.0,6181708000.0,30.0,53.0,41.8,280345551.8008651,279883729.7260684,327399.57238159335,326111.3583330899
2018-10-30 17:00:00,2.0,7390.0,0.0,12.0,1125460000.0,6177792000.0,30.0,54.0,41.9,269324792.16611445,268649707.4706396,316555.9665028357,315008.7018164231
2018-10-30 17:15:00,1.0,7341.0,2.0,12.0,1121596000.0,6181656000.0,29.0,53.0,41.5,248885456.6395972,247696936.516961,293959.949071151,292221.2202763609
2018-10-30 17:30:00,3.0,7297.0,3.0,12.0,1121012000.0,6182240000.0,30.0,53.0,41.7,244965897.1593244,243055609.68064216,287382.9940336099,285316.56538837124
2018-10-30 17:45:00,1.0,7254.0,2.0,11.0,1120900000.0,6182352000.0,30.0,53.0,41.5,250278254.51001945,249016495.48190972,292207.03311822534,290073.5605716993
2018-10-30 18:00:00,2.0,7170.0,2.0,12.0,1124776000.0,6178476000.0,30.0,53.0,41.6,248172883.48190176,247249137.8946226,289043.45175941574,287323.44926098693
2018-10-30 18:15:00,1.0,7116.0,0.0,9.0,1120648000.0,6182604000.0,29.0,54.0,41.3,237462969.78863436,236701517.7193234,277940.2348009496,275489.30048551754
2018-10-30 18:30:00,1.0,7072.0,1.0,10.0,1120476000.0,6182776000.0,30.0,53.0,41.4,240592790.550015,239349476.3792002,279803.4793885876,277324.12144990906
2018-10-30 18:45:00,0.0,7033.0,1.0,11.0,1122308000.0,6180944000.0,30.0,53.0,41.4,246362746.01399666,245327399.41119698,285308.30314447614,283559.50221526925
2018-10-30 19:00:00,0.0,6999.0,0.0,9.0,1123272000.0,6179980000.0,30.0,53.0,41.3,250866868.34188873,250127334.8898854,289626.60757170327,287822.6678443231
2018-10-30 19:15:00,2.0,6925.0,2.0,11.0,1120492000.0,6182696000.0,30.0,53.0,41.2,248992801.11019033,247991363.95345926,290389.20158389513,288761.24718757835
2018-10-30 19:30:00,2.0,6866.0,2.0,9.0,1120256000.0,6182932000.0,30.0,53.0,41.1,271806066.99200773,270943815.4317093,313135.19655004237,311467.80421997374
2018-10-30 19:45:00,0.0,6887.0,1.0,12.0,1119972000.0,6183216000.0,30.0,53.0,41.2,277080184.5171083,275928261.95558286,318700.3108074907,316711.6722487622
2018-10-30 20:00:00,2.0,6872.0,0.0,10.0,1123896000.0,6179292000.0,29.0,52.0,40.8,266913676.61723208,266151240.9343349,308520.2721896335,307009.0270994629
2018-10-30 20:15:00,0.0,6828.0,0.0,9.0,1120300000.0,6182888000.0,30.0,53.0,41.2,272640052.728255,271562834.82175326,314215.1448991598,312353.33552555525
2018-10-30 20:30:00,2.0,6703.0,1.0,9.0,1120316000.0,6182872000.0,30.0,53.0,40.9,297692151.008828,295648074.1479083,337951.386765652,335673.105614305
2018-10-30 20:45:00,0.0,6680.0,0.0,9.0,1120288000.0,6182900000.0,29.0,52.0,40.7,291440583.2090158,290819331.16033435,332698.1185323473,331421.13925916917
2018-10-30 21:00:00,0.0,6661.0,0.0,9.0,1124232000.0,6178956000.0,29.0,52.0,40.6,290258021.9855354,289703033.4576797,331555.1100184318,330317.65927144187
2018-10-30 21:15:00,3.0,6569.0,1.0,9.0,1120380000.0,6182808000.0,30.0,53.0,40.9,295648178.6112511,294892890.7055717,337570.5168033522,335804.18361477886
2018-10-30 21:30:00,2.0,6553.0,0.0,9.0,1120504000.0,6182684000.0,29.0,52.0,40.6,292942721.2664212,292018037.3749506,336353.1253502036,334666.18405574234
2018-10-30 21:45:00,2.0,6520.0,1.0,9.0,1120500000.0,6182688000.0,30.0,52.0,40.9,295810371.51878905,295163346.7921459,341157.71869299136,339352.8195024282
2018-10-30 22:00:00,1.0,6511.0,1.0,9.0,1124416000.0,6178772000.0,29.0,52.0,40.8,298193565.30903935,297342337.8948766,343641.3087697074,340132.72060904
2018-10-30 22:15:00,1.0,6453.0,1.0,9.0,1120632000.0,6182556000.0,29.0,52.0,40.8,283048650.71066463,282305192.6599464,327370.8686166783,324840.3500505246
2018-10-30 22:30:00,4.0,6378.0,0.0,9.0,1120304000.0,6182884000.0,29.0,52.0,40.6,285819833.072364,285035733.5426676,330955.0964886721,329218.4763436487
2018-10-30 22:45:00,0.0,6301.0,0.0,9.0,1120120000.0,6183068000.0,29.0,53.0,40.8,282814844.647166,282268578.683594,327753.3553909882,325676.25420087774
2018-10-30 23:00:00,2.0,6160.0,1.0,10.0,1124008000.0,6179180000.0,29.0,51.0,40.5,270228837.8475699,269296003.2797945,310253.6922286062,307796.8243115013
2018-10-30 23:15:00,1.0,6132.0,0.0,9.0,1119892000.0,6183296000.0,29.0,52.0,40.5,245277280.73351157,244264682.6119483,285762.2099579279,280603.0526284153
2018-10-30 23:30:00,0.0,6008.0,1.0,9.0,1119728000.0,6183456000.0,29.0,52.0,40.4,223530244.4900911,222753864.4536946,264220.1235115049,256612.06239958998
2018-10-30 23:45:00,2.0,5988.0,1.0,9.0,1120184000.0,6183000000.0,29.0,52.0,40.6,202789072.22413433,202147034.96643662,242224.72928186925,234510.34869728345
2018-10-31 00:00:00,2.0,5935.0,1.0,9.0,1120280000.0,6182904000.0,29.0,52.0,40.4,177369554.717747,176896347.37952152,214081.94913205795,207202.69681108306
2018-10-31 00:15:00,1.0,5893.0,0.0,9.0,1120380000.0,6182804000.0,29.0,52.0,40.2,166985756.0007974,166838403.80416566,197734.23990815395,195951.9279052058
2018-10-31 00:30:00,0.0,5841.0,2.0,9.0,1120696000.0,6182488000.0,30.0,52.0,40.7,144007900.4032377,143976979.234221,172093.37692453753,170683.14407543116
2018-10-31 00:45:00,1.0,5810.0,0.0,9.0,1120788000.0,6182396000.0,30.0,53.0,41.2,127889418.26969847,127833198.1221006,152883.18290696986,151914.11443399542
2018-10-31 01:00:00,3.0,5771.0,0.0,9.0,1122600000.0,6180584000.0,30.0,53.0,41.2,112037849.80193542,111935252.78828858,134933.7273155566,133840.20413930254
2018-10-31 01:15:00,1.0,5756.0,1.0,9.0,1121052000.0,6182132000.0,30.0,53.0,41.5,99309096.40528548,99336966.76447874,120361.03636776531,119535.97241147244
2018-10-31 01:30:00,0.0,5739.0,2.0,9.0,1121124000.0,6182060000.0,30.0,53.0,41.6,86640398.38277884,85928130.10450928,104369.9535781295,103172.41668754644
2018-10-31 01:45:00,1.0,5726.0,0.0,9.0,1121432000.0,6181752000.0,30.0,53.0,41.5,77035154.3336699,77054340.6227152,94852.65045043945,94166.23348378841
2018-10-31 02:00:00,1.0,5709.0,1.0,10.0,1125432000.0,6177752000.0,30.0,54.0,41.8,71797756.76040699,71758665.18627292,88621.40122574415,87879.54390779801
2018-10-31 02:15:00,2.0,5687.0,1.0,9.0,1121720000.0,6181464000.0,30.0,54.0,42.0,64384978.82447481,64220757.03892906,80351.15104841511,79559.54952312421
2018-10-31 02:30:00,0.0,5689.0,1.0,9.0,1121852000.0,6181332000.0,30.0,54.0,42.1,59277072.038798034,59084597.85638699,74642.67381473037,73887.52557501089
2018-10-31 02:45:00,2.0,5679.0,0.0,9.0,1122144000.0,6181040000.0,31.0,53.0,41.8,55877432.6710596,55603114.010856,70666.28640147466,69862.41467836832
2018-10-31 03:00:00,0.0,5678.0,0.0,9.0,1122152000.0,6181032000.0,30.0,53.0,41.7,49680116.67361164,49624311.22548498,62845.898911023505,62168.23459619204
2018-10-31 03:15:00,1.0,5665.0,0.0,9.0,1122228000.0,6180956000.0,30.0,53.0,41.6,48983438.44013286,48896662.86248064,62573.13910726455,61839.84254111895
2018-10-31 03:30:00,1.0,5648.0,0.0,9.0,1122368000.0,6180816000.0,31.0,53.0,41.8,45888041.40238933,45603412.98214917,58195.89417970952,57376.51806171717
2018-10-31 03:45:00,1.0,5648.0,1.0,9.0,1122336000.0,6180848000.0,31.0,54.0,42.1,40935143.416627705,40869807.68258713,53090.621565721056,52419.32411711238
2018-10-31 04:00:00,2.0,5641.0,0.0,9.0,1126312000.0,6176872000.0,30.0,54.0,41.9,39902975.45250173,39810505.57008904,51488.23245686432,50808.60327363703
2018-10-31 04:15:00,0.0,5646.0,0.0,9.0,1122432000.0,6180748000.0,30.0,53.0,41.8,39984154.449585155,39856884.96978486,51842.88174972329,51128.70031996876
2018-10-31 04:30:00,1.0,5633.0,2.0,9.0,1122472000.0,6180708000.0,30.0,54.0,41.7,39338320.18610041,39205380.02567504,52256.735707964166,51519.11040330461
2018-10-31 04:45:00,1.0,5643.0,1.0,9.0,1122416000.0,6180764000.0,31.0,54.0,42.1,41135227.879373215,39950150.48045556,52917.38582727647,51439.591357013414
2018-10-31 05:00:00,2.0,5635.0,0.0,9.0,1126340000.0,6176840000.0,30.0,54.0,41.7,43935547.89179759,43315384.97847835,56457.12130033036,55389.89098767152
2018-10-31 05:15:00,0.0,5644.0,0.0,10.0,1122420000.0,6180760000.0,31.0,53.0,41.7,52525020.754412904,52029199.5421339,66401.38794977753,65405.8198353103
2018-10-31 05:30:00,1.0,5660.0,1.0,9.0,1122436000.0,6180744000.0,30.0,54.0,41.5,50415032.20148067,50088218.095784195,64894.115745053554,64047.843707766
2018-10-31 05:45:00,1.0,5657.0,1.0,9.0,1122420000.0,6180760000.0,31.0,54.0,41.9,61118353.55788217,60980674.42783772,76850.96263341796,76023.48890794202
2018-10-31 06:00:00,1.0,5698.0,4.0,9.0,1124132000.0,6179048000.0,30.0,53.0,41.5,70774299.94019836,70504815.95169173,85383.3176672822,84484.63035194503
